n,k_frac,k,my_time,python_time
100,0.25,25,11101,7725
100,0.29,28,11542,7755
100,0.29,28,11281,7684
100,0.29,28,13465,7685
100,0.29,28,11131,7634
100,0.29,28,10990,7444
100,0.29,28,10831,7474
100,0.29,28,10971,7714
100,0.29,28,10941,7474
100,0.29,28,10891,7654
100,0.29,28,10861,7614
100,0.29,28,11091,7354
100,0.29,28,11131,7624
100,0.29,28,11061,7534
100,0.29,28,10931,7444
100,0.29,28,10971,15078
100,0.29,28,12804,8065
100,0.29,28,11421,7675
100,0.29,28,11321,7514
100,0.29,28,12934,7584
100,0.29,28,11231,7574
100,0.33,33,11993,7604
100,0.33,33,11752,7514
100,0.33,33,11913,7564
100,0.33,33,11732,7404
100,0.33,33,11532,7464
100,0.33,33,11611,7494
100,0.33,33,11421,7373
100,0.33,33,11792,7424
100,0.33,33,12975,7654
100,0.33,33,11732,7484
100,0.33,33,11632,7484
100,0.33,33,11712,7554
100,0.33,33,13706,8275
100,0.33,33,12283,7674
100,0.33,33,12223,7424
100,0.33,33,11712,7554
100,0.33,33,11562,7524
100,0.33,33,11782,7384
100,0.33,33,11722,7394
100,0.33,33,12514,7795
100,0.37,37,12373,7554
100,0.37,37,12233,7484
100,0.37,37,12193,7594
100,0.37,37,12303,7464
100,0.37,37,12122,7655
100,0.37,37,12173,7725
100,0.37,37,12083,7795
100,0.37,37,12123,7684
100,0.37,37,12023,7604
100,0.37,37,14336,8406
100,0.37,37,12844,7725
100,0.37,37,12473,7565
100,0.37,37,12313,7443
100,0.37,37,12453,7534
100,0.37,37,12333,7624
100,0.37,37,12183,7524
100,0.37,37,12163,7414
100,0.37,37,12053,7354
100,0.37,37,11983,7574
100,0.37,37,12053,7564
1000,0.01,10,76773,79909
1000,0.01,10,78928,89017
1000,0.01,10,77125,89117
1000,0.01,10,72065,87063
1000,0.01,10,70212,82224
